分组,指令,类型,opcode,funct3,funct7,npc_op,rf_we,rf_wsel,sext_op,alua_sel,alub_sel,alu_op,ram_rop,ram_wop,is_mul,is_div
示例,SLLI,I,0010011,001,0000000,PC4,1,ALU,I,RS1,EXT,SLL,N,N,0,0
示例,ADDI,I,0010011,000,-,PC4,1,ALU,I,RS1,EXT,ADD,N,N,0,0
示例,LUI,U,0110111,-,-,PC4,1,EXT,U,-,-,-,N,N,0,0
示例,ORI,I,0010011,110,-,PC4,1,ALU,I,RS1,EXT,OR,N,N,0,0
示例,LW,I,0000011,010,-,PC4,1,RAM,I,RS1,EXT,ADD,W,N,0,0
示例,JAL,J,1101111,-,-,JMP,1,PC4,J,-,-,-,N,N,0,0
示例,BEQ,B,1100011,000,-,BRA,0,-,B,RS1,RS2,EQ,N,N,0,0
示例,BNE,B,1100011,001,-,BRA,0,-,B,RS1,RS2,NE,N,N,0,0
A,SLL,R,0110011,001,0000000,PC4,1,ALU,-,RS1,RS2,SLL,N,N,0,0
A,SRL,R,0110011,101,0000000,PC4,1,ALU,-,RS1,RS2,SRL,N,N,0,0
A,SRLI,I,0010011,101,0000000,PC4,1,ALU,I,RS1,EXT,SRL,N,N,0,0
A,SRA,R,0110011,101,0100000,PC4,1,ALU,-,RS1,RS2,SRA,N,N,0,0
A,SRAI,I,0010011,101,0100000,PC4,1,ALU,I,RS1,EXT,SRA,N,N,0,0
A,ADD,R,0110011,000,0000000,PC4,1,ALU,-,RS1,RS2,ADD,N,N,0,0
A,SUB,R,0110011,000,0100000,PC4,1,ALU,-,RS1,RS2,SUB,N,N,0,0
A,AUIPC,U,0010111,-,-,PC4,1,ALU,U,PC,EXT,ADD,N,N,0,0
A,XOR,R,0110011,100,0000000,PC4,1,ALU,-,RS1,RS2,XOR,N,N,0,0
A,XORI,I,0010011,100,-,PC4,1,ALU,I,RS1,EXT,XOR,N,N,0,0
A,LB,I,0000011,000,-,PC4,1,RAM,I,RS1,EXT,ADD,B,N,0,0
A,LBU,I,0000011,100,-,PC4,1,RAM,I,RS1,EXT,ADD,BU,N,0,0
A,LH,I,0000011,001,-,PC4,1,RAM,I,RS1,EXT,ADD,H,N,0,0
A,LHU,I,0000011,101,-,PC4,1,RAM,I,RS1,EXT,ADD,HU,N,0,0
A,SW,S,0100011,010,-,PC4,0,-,S,RS1,EXT,ADD,N,W,0,0
A,SB,S,0100011,000,-,PC4,0,-,S,RS1,EXT,ADD,N,B,0,0
A,SH,S,0100011,001,-,PC4,0,-,S,RS1,EXT,ADD,N,H,0,0
A,JALR,I,1100111,000,-,JALR,1,PC4,I,RS1,EXT,ADD,N,N,0,0
B,MUL,R,0110011,000,0000001,PC4,1,ALU,-,RS1,RS2,MUL,N,N,1,0
B,MULH,R,0110011,001,0000001,PC4,1,ALU,-,RS1,RS2,MULH,N,N,1,0
B,MULHU,R,0110011,011,0000001,PC4,1,ALU,-,RS1,RS2,MULHU,N,N,1,0
B,DIV,R,0110011,100,0000001,PC4,1,ALU,-,RS1,RS2,DIV,N,N,0,1
B,DIVU,R,0110011,101,0000001,PC4,1,ALU,-,RS1,RS2,DIVU,N,N,0,1
B,REM,R,0110011,110,0000001,PC4,1,ALU,-,RS1,RS2,REM,N,N,0,1
B,REMU,R,0110011,111,0000001,PC4,1,ALU,-,RS1,RS2,REMU,N,N,0,1
B,SLT,R,0110011,010,0000000,PC4,1,ALU,-,RS1,RS2,SLT,N,N,0,0
B,SLTI,I,0010011,010,-,PC4,1,ALU,I,RS1,EXT,SLT,N,N,0,0
B,SLTU,R,0110011,011,0000000,PC4,1,ALU,-,RS1,RS2,SLTU,N,N,0,0
B,SLTIU,I,0010011,011,-,PC4,1,ALU,I,RS1,EXT,SLTU,N,N,0,0
B,OR,R,0110011,110,0000000,PC4,1,ALU,-,RS1,RS2,OR,N,N,0,0
B,AND,R,0110011,111,0000000,PC4,1,ALU,-,RS1,RS2,AND,N,N,0,0
B,ANDI,I,0010011,111,-,PC4,1,ALU,I,RS1,EXT,AND,N,N,0,0
B,BLT,B,1100011,100,-,BRA,0,-,B,RS1,RS2,SLT,N,N,0,0
B,BGE,B,1100011,101,-,BRA,0,-,B,RS1,RS2,SGE,N,N,0,0
B,BLTU,B,1100011,110,-,BRA,0,-,B,RS1,RS2,SLTU,N,N,0,0
B,BGEU,B,1100011,111,-,BRA,0,-,B,RS1,RS2,SGEU,N,N,0,0
