分组,指令,类型,ALU输入A,ALU输入B,ALU操作,访存操作,写回来源,下一PC
示例,SLLI,I,RF[rs1],SEXT.ext,SLL,-,ALU.c,PC+4
示例,ADDI,I,RF[rs1],SEXT.ext,ADD,-,ALU.c,PC+4
示例,LUI,U,-,-,-,-,SEXT.ext,PC+4
示例,ORI,I,RF[rs1],SEXT.ext,OR,-,ALU.c,PC+4
示例,LW,I,RF[rs1],SEXT.ext,ADD,读字,MEXT.ext,PC+4
示例,JAL,J,-,-,-,-,NPC.pc4,PC+imm
示例,BEQ,B,RF[rs1],RF[rs2],EQ,-,-,条件成立PC+imm，否则PC+4
示例,BNE,B,RF[rs1],RF[rs2],NE,-,-,条件成立PC+imm，否则PC+4
A,SLL,R,RF[rs1],RF[rs2],SLL,-,ALU.c,PC+4
A,SRL,R,RF[rs1],RF[rs2],SRL,-,ALU.c,PC+4
A,SRLI,I,RF[rs1],SEXT.ext,SRL,-,ALU.c,PC+4
A,SRA,R,RF[rs1],RF[rs2],SRA,-,ALU.c,PC+4
A,SRAI,I,RF[rs1],SEXT.ext,SRA,-,ALU.c,PC+4
A,ADD,R,RF[rs1],RF[rs2],ADD,-,ALU.c,PC+4
A,SUB,R,RF[rs1],RF[rs2],SUB,-,ALU.c,PC+4
A,AUIPC,U,PC,SEXT.ext,ADD,-,ALU.c,PC+4
A,XOR,R,RF[rs1],RF[rs2],XOR,-,ALU.c,PC+4
A,XORI,I,RF[rs1],SEXT.ext,XOR,-,ALU.c,PC+4
A,LB,I,RF[rs1],SEXT.ext,ADD,读字节/符号扩展,MEXT.ext,PC+4
A,LBU,I,RF[rs1],SEXT.ext,ADD,读字节/零扩展,MEXT.ext,PC+4
A,LH,I,RF[rs1],SEXT.ext,ADD,读半字/符号扩展,MEXT.ext,PC+4
A,LHU,I,RF[rs1],SEXT.ext,ADD,读半字/零扩展,MEXT.ext,PC+4
A,SW,S,RF[rs1],SEXT.ext,ADD,写字,-,PC+4
A,SB,S,RF[rs1],SEXT.ext,ADD,写字节,-,PC+4
A,SH,S,RF[rs1],SEXT.ext,ADD,写半字,-,PC+4
A,JALR,I,RF[rs1],SEXT.ext,ADD,-,NPC.pc4,(rs1+imm)&~1
B,MUL,R,RF[rs1],RF[rs2],MUL,-,ALU.c,PC+4
B,MULH,R,RF[rs1],RF[rs2],MULH,-,ALU.c,PC+4
B,MULHU,R,RF[rs1],RF[rs2],MULHU,-,ALU.c,PC+4
B,DIV,R,RF[rs1],RF[rs2],DIV,-,ALU.c,PC+4
B,DIVU,R,RF[rs1],RF[rs2],DIVU,-,ALU.c,PC+4
B,REM,R,RF[rs1],RF[rs2],REM,-,ALU.c,PC+4
B,REMU,R,RF[rs1],RF[rs2],REMU,-,ALU.c,PC+4
B,SLT,R,RF[rs1],RF[rs2],SLT,-,ALU.c,PC+4
B,SLTI,I,RF[rs1],SEXT.ext,SLT,-,ALU.c,PC+4
B,SLTU,R,RF[rs1],RF[rs2],SLTU,-,ALU.c,PC+4
B,SLTIU,I,RF[rs1],SEXT.ext,SLTU,-,ALU.c,PC+4
B,OR,R,RF[rs1],RF[rs2],OR,-,ALU.c,PC+4
B,AND,R,RF[rs1],RF[rs2],AND,-,ALU.c,PC+4
B,ANDI,I,RF[rs1],SEXT.ext,AND,-,ALU.c,PC+4
B,BLT,B,RF[rs1],RF[rs2],SLT,-,-,条件成立PC+imm，否则PC+4
B,BGE,B,RF[rs1],RF[rs2],SGE,-,-,条件成立PC+imm，否则PC+4
B,BLTU,B,RF[rs1],RF[rs2],SLTU,-,-,条件成立PC+imm，否则PC+4
B,BGEU,B,RF[rs1],RF[rs2],SGEU,-,-,条件成立PC+imm，否则PC+4
